,renda_mensal,quantidade_de_cheques_sem_fundo,valor_dos_restritivos,quantidade_de_protestos,valor_dos_protestos,modelo_score_1,modelo_score_2,modelo_score_3,modelo_score_4,id_do_cliente,tipo_de_score,compromentimento_da_renda,response
5097,0.07342496079697444,0,321.93793103448274,0.0,0.0,250,222,266,666,465006154,1,100,MAU
2580,0.0714878701226824,0,0.0,0.0,0.0,311,623,534,695,997580705,2,25,BOM
260,0.045414014697291144,0,0.0,0.0,0.0,632,647,394,774,289998235,3,25,BOM
6781,0.015219998155151737,0,0.0,0.0,0.0,747,747,718,789,286222838,4,25,BOM
5468,0.006549211327368319,0,0.0,0.0,0.0,253,606,248,598,683857393,1,25,MAU
3977,0.1034037450419703,0,0.0,0.0,0.0,209,576,345,656,278184896,1,25,BOM
2834,0.07536205147126648,0,17.372413793103448,0.0,0.0,25,222,156,620,600067937,1,100,BOM
4014,0.0051655751314454365,0,0.0,0.0,0.0,335,590,279,701,676915534,2,25,BOM
6224,0.0714878701226824,0,0.0,0.0,0.0,433,617,480,734,579973082,2,25,BOM
8001,0.0714571226516619,0,0.0,0.0,0.0,483,667,499,750,604939417,2,25,BOM
2592,0.04169357070380961,0,0.0,0.0,0.0,807,687,737,936,1012682293,4,25,BOM
3019,0.07151861759370291,0,0.0,0.0,0.0,536,693,650,769,403990867,3,25,BOM
1865,0.09968330104848876,0,0.0,0.0,0.0,817,701,856,792,1213143695,4,25,BOM
1564,0.010331150262890873,0,1.986206896551724,0.0,0.0,122,218,196,482,1017066625,1,25,BOM
1796,0.005073332718383915,1,0.0,0.0,0.0,365,523,667,714,499593662,2,25,BOM
7799,0.013897856901269871,0,0.0,2.0,16155.0,247,635,451,658,271121250,1,25,BOM
7767,0.0031977369861328903,0,3.1517241379310343,1.0,671.0,74,223,211,464,151891777,1,50,BOM
9447,0.07536205147126648,0,1.0344827586206897,0.0,0.0,61,537,188,584,304490888,1,25,BOM
145,0.09952956369338621,0,0.0,0.0,0.0,819,654,688,806,1084901984,4,25,BOM
701,0.04150908587768656,0,0.0,0.0,0.0,457,678,584,756,1109990106,2,25,MAU
8537,0.1034037450419703,0,45.765517241379314,0.0,0.0,28,152,211,608,173204502,1,100,BOM
9653,0.009562463487378159,0,0.0,0.0,0.0,582,596,540,752,1052141281,3,25,BOM
6910,0.07536205147126648,0,0.0,0.0,0.0,559,658,566,706,1020842022,3,25,BOM
5100,0.07151861759370291,0,0.0,0.0,0.0,812,730,821,823,563410050,4,25,BOM
5270,0.041601328290748085,0,0.0,0.0,0.0,361,645,509,752,910137639,2,25,BOM
5741,0.1074009162746364,0,0.0,0.0,0.0,704,638,443,713,994779604,4,25,BOM
3328,0.009316483719214091,0,15.758620689655173,0.0,0.0,147,241,266,572,743045875,1,100,BOM
1659,0.011468806690649695,0,0.0,0.0,0.0,605,642,595,716,715887374,3,25,BOM
5583,0.08145005073332719,0,0.0,0.0,0.0,695,666,669,781,577050194,3,25,MAU
762,0.04157058081972757,0,1.703448275862069,0.0,0.0,89,275,203,652,991004207,1,25,BOM
4457,0.07536205147126648,0,0.0,0.0,0.0,595,642,575,680,96965840,3,25,BOM
9797,0.09956031116440674,0,0.0,0.0,0.0,576,627,732,708,74922393,3,25,BOM
8692,0.010730867386157486,0,0.0,0.0,0.0,177,626,202,544,384626734,1,25,BOM
1850,0.07536205147126648,0,2.56551724137931,0.0,0.0,250,248,329,668,1137270394,1,25,MAU
1994,0.07536205147126648,0,0.0,0.0,0.0,567,619,425,731,828296775,3,25,BOM
5237,0.013897856901269871,0,0.0,0.0,0.0,846,730,773,775,376101644,4,25,BOM
5955,0.012298988408203426,0,0.0,0.0,0.0,825,690,677,782,194395440,4,25,BOM
7126,0.0714878701226824,0,0.0,0.0,0.0,936,728,804,889,285370329,4,25,BOM
7651,0.06171017433816069,0,0.0,0.0,0.0,637,625,690,829,61404036,3,25,BOM
2780,0.0714571226516619,0,20.46896551724138,0.0,0.0,44,208,266,547,483152417,1,100,MAU
6605,0.0038434338775635707,0,0.0,0.0,0.0,372,656,318,549,97696562,2,25,BOM
6094,0.07536205147126648,0,0.0,0.0,0.0,491,601,475,642,583383118,2,25,BOM
7188,0.0736094456230975,0,0.0,0.0,0.0,738,619,691,836,857525655,4,25,BOM
8783,0.015219998155151737,0,0.0,0.0,0.0,361,638,533,582,1161627794,2,25,BOM
7174,0.09956031116440674,0,0.0,0.0,0.0,879,669,878,784,1093061713,4,25,BOM
9617,0.1034037450419703,0,35.98620689655172,0.0,0.0,158,204,219,647,750474882,1,100,BOM
1194,0.004027918703686621,0,0.0,0.0,0.0,449,595,360,668,38142719,2,25,BOM
2837,0.0998370384035913,0,0.0,0.0,0.0,999,703,875,873,806496902,4,25,BOM
3668,0.0998062909325708,0,11.620689655172415,0.0,0.0,30,213,258,533,825130313,1,100,MAU
5157,0.04083264151523537,0,0.593103448275862,0.0,0.0,237,246,250,707,455750342,1,25,BOM
6392,0.1034037450419703,0,0.0,0.0,0.0,746,630,644,734,593613226,4,25,MAU
7109,0.07154936506472342,0,0.0,0.0,0.0,511,648,661,750,1100856081,3,25,BOM
898,0.07536205147126648,0,51.820689655172416,0.0,0.0,2,210,133,551,86126797,1,100,BOM
6627,0.07536205147126648,0,63.213793103448275,0.0,0.0,130,209,227,650,568890465,1,100,BOM
2999,0.0714878701226824,0,0.0,0.0,0.0,586,667,498,749,166384430,3,25,BOM
2664,0.07536205147126648,0,0.0,0.0,0.0,413,621,521,653,155788961,2,25,BOM
8877,0.00830181717553731,0,1.0413793103448277,0.0,0.0,69,242,250,558,1155051296,1,25,BOM
2507,0.0420010454140147,0,0.0,0.0,0.0,652,630,640,842,1123508463,3,25,BOM
9847,0.02702702702702703,0,3.6413793103448278,0.0,0.0,258,239,352,681,986741662,1,50,BOM
2162,0.07536205147126648,0,0.0,0.0,0.0,204,649,470,625,334694064,1,25,BOM
4437,0.07536205147126648,0,0.0,0.0,0.0,756,647,703,685,843033002,4,25,MAU
7385,0.011837776342895796,0,5.682758620689655,0.0,0.0,140,222,258,737,1042032960,1,100,BOM
2411,0.007717615226147646,0,2.0620689655172413,0.0,0.0,2,223,141,498,1118880557,1,50,BOM
3908,0.04153983334870706,0,0.0,0.0,0.0,343,533,283,655,116086399,2,25,BOM
1668,0.0714878701226824,0,0.0,0.0,0.0,918,670,712,825,1063589259,4,25,BOM
2273,0.07776035421086615,1,0.0,0.0,0.0,421,523,775,765,714182356,2,25,BOM
9955,0.011099837038403587,0,0.0,0.0,0.0,721,698,794,789,358198955,4,25,BOM
7611,0.005411554899609504,0,0.0,3.0,2472.0,248,618,534,669,425303592,1,25,BOM
4706,0.008148079820434771,0,0.0,0.0,0.0,529,658,469,655,87953602,3,25,MAU
4670,0.01214525105310088,0,0.0,0.0,0.0,359,613,586,625,961775327,2,25,BOM
7484,0.09608584693908927,1,0.0,1.0,15000.0,371,550,554,712,1215701222,2,25,BOM
9132,0.045414014697291144,0,0.0,0.0,0.0,718,594,357,708,527970033,4,25,BOM
9623,0.04153983334870706,0,0.0,0.0,0.0,747,712,627,736,148481741,4,25,BOM
3447,0.0009224241306152528,0,0.0,0.0,0.0,557,680,694,669,596170753,3,25,BOM
7798,0.004058666174707126,0,0.0,0.0,0.0,482,631,381,679,359173251,2,25,BOM
2862,0.09956031116440674,0,0.0,0.0,0.0,919,721,856,873,488632832,4,25,BOM
3598,0.07536205147126648,0,717.8206896551724,1.0,27740.0,182,221,227,720,1035456462,1,100,BOM
5166,0.0714878701226824,0,0.0,0.0,0.0,465,634,335,744,881030546,2,25,BOM
6221,0.01561971527841835,0,33.43448275862069,2.0,6520.0,136,209,243,465,539783372,1,100,BOM
5515,0.10368047228115486,0,0.0,0.0,0.0,705,659,616,742,402285849,4,25,BOM
1973,0.07151861759370291,0,42.51034482758621,0.0,0.0,44,236,258,619,1054577021,1,100,BOM
5554,0.11139808750730253,0,0.0,0.0,0.0,790,689,763,871,1079177995,4,25,BOM
5700,0.06524613350551917,0,0.0,0.0,0.0,920,718,757,925,459038591,4,25,BOM
4805,0.07151861759370291,0,0.0,0.0,0.0,392,665,493,702,1030584982,2,25,BOM
1777,0.0718568397749285,0,0.0,0.0,0.0,961,753,853,839,33758387,4,25,BOM
6463,0.012483473234326477,0,0.0,0.0,0.0,221,536,263,467,837917948,1,25,MAU
3646,0.0038434338775635707,0,0.9103448275862069,0.0,0.0,174,502,235,642,184043545,1,25,MAU
7344,0.07536205147126648,0,0.0,0.0,0.0,356,600,295,667,528213607,2,25,BOM
8891,0.0031054945730713615,0,2.1448275862068966,0.0,0.0,67,228,227,537,567672595,1,50,BOM
6006,0.011930018755957318,0,0.0,1.0,804.0,290,671,577,711,342732006,1,25,BOM
432,0.002921009746948311,0,0.0,0.0,0.0,532,600,334,686,875428344,3,25,BOM
7550,0.07536205147126648,0,0.0,0.0,0.0,292,641,408,682,599946150,1,25,BOM
6519,0.09550164498969958,0,0.0,0.0,0.0,564,632,317,746,759852481,3,25,BOM
3242,0.09952956369338621,0,0.0,0.0,0.0,612,712,756,907,118400352,3,25,BOM
5747,0.004243151000830184,0,0.0,2.0,954.0,143,636,368,625,812951613,1,25,BOM
2208,0.1034037450419703,0,156.0344827586207,0.0,0.0,203,246,305,700,920367747,1,100,BOM
3993,0.09940657380930419,0,0.0,0.0,0.0,995,745,799,900,663153603,4,25,BOM
4344,0.10752390615871844,0,0.0,0.0,0.0,991,717,768,807,1033020722,4,25,BOM
627,0.07161086000676443,0,0.0,0.0,0.0,681,673,547,743,401555127,3,25,BOM
6252,0.0114995541616702,0,0.0,0.0,0.0,307,567,283,702,147994593,2,25,MAU
195,0.002951757217968823,0,0.0,0.0,0.0,759,609,719,816,39604163,4,25,BOM
1896,0.0039049288196045875,0,0.0,1.0,281.0,245,239,297,706,360756482,1,25,MAU
290,0.010085170494726806,0,6.731034482758621,0.0,0.0,70,235,188,560,1060301010,1,100,MAU
5664,0.07536205147126648,0,0.0,0.0,0.0,841,728,828,809,1135808950,4,25,BOM
2575,0.1034037450419703,0,15.448275862068966,0.0,0.0,140,221,266,607,706996923,1,100,MAU
9594,0.07342496079697444,0,0.0,0.0,0.0,598,620,577,760,840110114,3,25,BOM
839,0.1034037450419703,0,9.620689655172415,0.0,0.0,137,214,243,584,966159659,1,75,MAU
8943,0.07151861759370291,0,0.0,0.0,0.0,847,762,852,816,653288856,4,25,BOM
2370,0.0714571226516619,0,0.0,0.0,0.0,660,663,642,785,260160420,3,25,BOM
2062,0.09774621037419672,0,21.44137931034483,0.0,0.0,275,236,282,658,22310409,1,100,BOM
